epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
81,257.304,0.62914,0.66135,0.82088,0.99028,1,0.995,0.74762,0.71747,0.41087,0.83064,0.000346736,0.000346736,0.000346736
82,260.348,0.63444,0.69268,0.82502,0.99046,1,0.995,0.76972,0.70749,0.40118,0.83033,0.000330233,0.000330233,0.000330233
83,263.528,0.62514,0.96806,0.803,0.99886,0.9375,0.97192,0.76381,0.69632,0.38608,0.83185,0.000313729,0.000313729,0.000313729
84,266.725,0.64894,0.66533,0.79953,0.98482,0.9375,0.96929,0.76203,0.69147,0.38046,0.83257,0.000297226,0.000297226,0.000297226
85,270.02,0.63053,0.65984,0.80967,0.99384,1,0.995,0.77069,0.67806,0.39501,0.82321,0.000280723,0.000280723,0.000280723
86,273.183,0.72819,0.91733,0.83035,0.99417,0.9986,0.995,0.79269,0.67956,0.39125,0.81985,0.00026422,0.00026422,0.00026422
87,276.381,0.77858,0.83584,0.83554,0.99175,0.99974,0.995,0.78048,0.7013,0.40637,0.81956,0.000247716,0.000247716,0.000247716
88,279.441,0.65916,0.79289,0.83784,0.9911,1,0.995,0.78749,0.73688,0.45598,0.82172,0.000231213,0.000231213,0.000231213
89,282.743,0.75383,0.81483,0.83243,0.99177,1,0.995,0.78153,0.73177,0.47127,0.82174,0.00021471,0.00021471,0.00021471
90,285.905,0.62984,0.62227,0.83784,0.99467,1,0.995,0.781,0.73505,0.43053,0.82186,0.000198206,0.000198206,0.000198206
91,319.415,0.65084,1.05714,0.79309,0.99453,1,0.995,0.78134,0.70925,0.3972,0.82052,0.000181703,0.000181703,0.000181703
92,322.857,0.60534,0.89261,0.78068,0.9403,1,0.94667,0.73379,0.71354,0.42457,0.8208,0.0001652,0.0001652,0.0001652
93,326.252,0.67426,0.99636,0.79807,0.93038,1,0.93972,0.71901,0.70152,0.53319,0.82175,0.000148696,0.000148696,0.000148696
94,329.613,0.60532,0.74283,0.84056,0.88644,1,0.8955,0.69868,0.66389,0.53472,0.8169,0.000132193,0.000132193,0.000132193
95,332.963,0.75123,1.25949,0.75621,0.83094,0.9375,0.8425,0.68656,0.64554,0.6015,0.81798,0.00011569,0.00011569,0.00011569
96,335.915,0.57208,0.72489,0.84136,0.82888,0.9375,0.83488,0.68491,0.64488,0.65245,0.81837,9.91865e-05,9.91865e-05,9.91865e-05
97,338.991,0.74272,0.99612,0.78058,0.84085,1,0.85932,0.6791,0.64114,0.90196,0.81678,8.26832e-05,8.26832e-05,8.26832e-05
98,342.135,0.70035,1.03046,0.77859,0.76959,0.9375,0.78228,0.64858,0.63762,1.04706,0.81623,6.61799e-05,6.61799e-05,6.61799e-05
99,345.202,0.69168,0.97941,0.79025,0.82797,0.9375,0.83003,0.68721,0.6298,0.84212,0.81819,4.96766e-05,4.96766e-05,4.96766e-05
100,348.39,0.66242,0.90364,0.84983,0.83308,0.93325,0.82536,0.68798,0.63008,0.9436,0.81775,3.31733e-05,3.31733e-05,3.31733e-05
