epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
58,114.461,0.57769,0.52146,0.90212,0.99708,1,0.995,0.86239,0.57057,0.42581,0.91649,0.000726312,0.000726312,0.000726312
59,116.489,0.60129,0.52166,0.91607,0.99719,1,0.995,0.8647,0.56932,0.41463,0.91598,0.000709809,0.000709809,0.000709809
60,118.449,0.60905,0.54118,0.90176,0.99715,1,0.995,0.87228,0.56971,0.41478,0.92009,0.000693305,0.000693305,0.000693305
61,120.319,0.60462,0.53075,0.90108,0.99732,1,0.995,0.86427,0.57956,0.42056,0.91644,0.000676802,0.000676802,0.000676802
62,122.135,0.62282,0.5331,0.92449,0.99732,1,0.995,0.86427,0.57956,0.42056,0.91644,0.000660299,0.000660299,0.000660299
63,124.044,0.6243,0.52698,0.91318,0.99749,1,0.995,0.86548,0.5723,0.41849,0.9102,0.000643795,0.000643795,0.000643795
64,125.947,0.60125,0.52878,0.90509,0.99712,1,0.995,0.86986,0.56445,0.41493,0.90905,0.000627292,0.000627292,0.000627292
65,127.829,0.59192,0.50219,0.93819,0.9971,1,0.995,0.87474,0.55788,0.40592,0.90604,0.000610789,0.000610789,0.000610789
66,129.802,0.60534,0.51223,0.91428,0.99641,0.9983,0.995,0.88874,0.54357,0.41477,0.90153,0.000594286,0.000594286,0.000594286
67,131.73,0.57495,0.51665,0.91262,0.99721,0.9965,0.995,0.87742,0.54945,0.41305,0.90349,0.000577782,0.000577782,0.000577782
68,133.641,0.59041,0.51162,0.87698,0.99751,0.99826,0.995,0.88529,0.52888,0.39167,0.89951,0.000561279,0.000561279,0.000561279
69,135.699,0.57759,0.49848,0.89934,0.9975,0.99908,0.995,0.88401,0.53199,0.38482,0.90012,0.000544776,0.000544776,0.000544776
69,4.33714,0.66278,0.61592,1.28316,0.73023,0.72093,0.8873,0.67878,nan,nan,nan,0.000544776,0.000544776,0.000544776
70,6.22078,0.66146,0.59612,0.91604,0.02686,0.71753,0.02467,0.02151,0.57217,inf,0.91586,0.000528272,0.000528272,0.000528272
71,8.24078,0.63041,0.57658,0.93568,0.31234,0.9687,0.32373,0.28063,0.55872,3.64951,0.90888,0.000511769,0.000511769,0.000511769
72,10.2467,0.61202,0.54844,0.92334,0.75196,0.99754,0.76886,0.67668,0.5459,0.6415,0.90093,0.000495266,0.000495266,0.000495266
73,12.2567,0.62653,0.55471,0.92882,0.92424,0.9976,0.97895,0.85932,0.55338,0.44589,0.90728,0.000478762,0.000478762,0.000478762
74,14.1565,0.63404,0.54127,0.91455,0.99406,1,0.995,0.88242,0.5475,0.40816,0.90477,0.000462259,0.000462259,0.000462259
75,16.1112,0.59471,0.5539,0.91594,0.99667,1,0.995,0.86669,0.54458,0.39911,0.89972,0.000445756,0.000445756,0.000445756
76,17.9475,0.60834,0.54217,0.89358,0.99667,1,0.995,0.86669,0.54458,0.39911,0.89972,0.000429253,0.000429253,0.000429253
77,19.7211,0.60217,0.49296,0.88663,0.99818,1,0.995,0.84952,0.56638,0.40234,0.90927,0.000412749,0.000412749,0.000412749
78,21.7032,0.59468,0.51154,0.89852,0.99793,1,0.995,0.85777,0.56574,0.40569,0.91065,0.000396246,0.000396246,0.000396246
79,23.672,0.60555,0.51783,0.8958,0.997,1,0.995,0.87332,0.55536,0.40292,0.90421,0.000379743,0.000379743,0.000379743
80,25.5189,0.58775,0.4998,0.90526,0.99621,1,0.995,0.87622,0.54482,0.40579,0.90378,0.000363239,0.000363239,0.000363239
81,27.6709,0.56776,0.48864,0.91632,0.99751,1,0.995,0.87716,0.52232,0.39615,0.89837,0.000346736,0.000346736,0.000346736
82,29.5283,0.57441,0.48,0.89181,0.99818,1,0.995,0.88972,0.52189,0.39395,0.899,0.000330233,0.000330233,0.000330233
83,31.6089,0.62123,0.5349,0.93356,0.99701,1,0.995,0.88471,0.52386,0.39996,0.89952,0.000313729,0.000313729,0.000313729
84,33.4062,0.58471,0.49179,0.90323,0.99701,1,0.995,0.88471,0.52386,0.39996,0.89952,0.000297226,0.000297226,0.000297226
85,35.1502,0.58497,0.4917,0.90022,0.99591,1,0.995,0.88389,0.52113,0.39246,0.89591,0.000280723,0.000280723,0.000280723
86,36.9929,0.5773,0.47508,0.89662,0.99654,1,0.995,0.87661,0.52347,0.38801,0.89409,0.00026422,0.00026422,0.00026422
87,38.9112,0.57444,0.50537,0.93018,0.99674,1,0.995,0.88531,0.52746,0.38329,0.89685,0.000247716,0.000247716,0.000247716
88,40.7191,0.57445,0.50661,0.91353,0.99801,1,0.995,0.88945,0.52979,0.38388,0.90021,0.000231213,0.000231213,0.000231213
89,42.5814,0.55702,0.48455,0.88581,0.99798,1,0.995,0.88654,0.52206,0.37425,0.89702,0.00021471,0.00021471,0.00021471
90,44.7516,0.55392,0.47371,0.89529,0.99773,1,0.995,0.8901,0.51736,0.37193,0.89564,0.000198206,0.000198206,0.000198206
91,35.8672,0.55061,0.55257,0.93363,0.24643,0.21401,0.16391,0.1435,nan,nan,nan,0.000181703,0.000181703,0.000181703
92,37.9807,0.54983,0.5113,0.9239,0.7083,1,0.74782,0.65897,0.5364,0.47517,0.91179,0.0001652,0.0001652,0.0001652
93,40.0887,0.5496,0.51113,0.91253,0.97316,1,0.99335,0.88017,0.53268,0.39429,0.9051,0.000148696,0.000148696,0.000148696
94,41.989,0.53688,0.47755,0.89801,0.97969,1,0.99458,0.88738,0.53137,0.38264,0.9026,0.000132193,0.000132193,0.000132193
95,43.8106,0.553,0.45795,0.89668,0.99392,1,0.99493,0.88448,0.53482,0.37185,0.9017,0.00011569,0.00011569,0.00011569
96,45.6781,0.53794,0.45683,0.87646,0.99605,1,0.995,0.88576,0.53089,0.36668,0.90014,9.91865e-05,9.91865e-05,9.91865e-05
97,47.5064,0.53372,0.45203,0.88534,0.99501,1,0.995,0.88574,0.52603,0.36213,0.89792,8.26832e-05,8.26832e-05,8.26832e-05
98,49.2587,0.53209,0.43001,0.89014,0.99501,1,0.995,0.88574,0.52603,0.36213,0.89792,6.61799e-05,6.61799e-05,6.61799e-05
99,51.0673,0.5274,0.44124,0.90265,0.99482,1,0.995,0.88908,0.52425,0.36374,0.89778,4.96766e-05,4.96766e-05,4.96766e-05
100,52.9698,0.52434,0.43165,0.89303,0.99501,1,0.995,0.89004,0.52258,0.3592,0.89737,3.31733e-05,3.31733e-05,3.31733e-05
